id,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
41,11,236.97,1,1,Urban,1,Phone,Discount,0
42,3,99.23,1,0,Rural,0,Web,Discount,1
43,9,204.18,0,1,Surburban,0,Web,Buy One Get One,0
44,2,492.02,1,0,Surburban,0,Phone,No Offer,0
45,1,48.32,0,1,Urban,0,Web,No Offer,0
46,10,29.99,1,0,Surburban,0,Phone,No Offer,0
47,2,391.33,1,0,Surburban,0,Web,No Offer,0
48,1,729.7,1,1,Surburban,1,Web,Discount,0
49,3,134.59,1,0,Urban,1,Phone,Buy One Get One,1
50,10,61.09,0,1,Surburban,0,Web,Buy One Get One,0
51,3,203.3,0,1,Surburban,0,Web,No Offer,0
52,9,185.43,1,0,Urban,0,Web,Discount,0
53,7,29.99,0,1,Urban,1,Phone,Discount,0
54,9,78.62,1,0,Urban,0,Web,Discount,0
55,12,150.06,0,1,Surburban,0,Phone,No Offer,0
56,6,42.66,1,0,Surburban,0,Web,No Offer,0
57,12,69.08,0,1,Rural,0,Phone,Buy One Get One,0
58,3,549.29,1,0,Surburban,1,Multichannel,No Offer,0
59,9,506.83,1,0,Rural,1,Multichannel,Discount,0
60,3,143.93,0,1,Surburban,0,Phone,Buy One Get One,0
61,10,115.4,1,0,Urban,0,Phone,Discount,0
62,2,96.91,1,0,Surburban,0,Phone,Buy One Get One,0
63,6,40.07,1,0,Surburban,1,Phone,Discount,0
64,11,417.21,0,1,Urban,0,Phone,No Offer,0
65,9,61.57,1,0,Surburban,1,Phone,Buy One Get One,0
66,5,222.07,0,1,Surburban,0,Phone,Buy One Get One,0
67,1,259.91,0,1,Surburban,1,Web,No Offer,0
68,11,53.81,1,0,Urban,1,Phone,No Offer,0
69,9,154.15,0,1,Surburban,0,Web,Discount,0
70,10,1009.44,1,0,Surburban,1,Multichannel,Buy One Get One,0
71,2,278.8,1,0,Rural,0,Web,Discount,0
72,10,31.12,1,0,Urban,0,Phone,Buy One Get One,0
73,2,428.74,1,0,Rural,0,Phone,Discount,0
74,7,612.28,1,0,Surburban,1,Phone,Buy One Get One,0
75,11,228.09,0,1,Surburban,1,Web,No Offer,0
76,1,640.58,0,1,Urban,1,Phone,Discount,0
77,4,194.11,1,0,Urban,0,Phone,No Offer,0
78,7,84.49,0,1,Urban,1,Web,No Offer,0
79,7,235.14,0,1,Urban,1,Phone,Discount,0
80,2,29.99,0,1,Surburban,0,Phone,Discount,0
81,7,272.32,1,0,Surburban,1,Web,Discount,0
82,2,95.33,0,1,Surburban,0,Web,No Offer,1
83,5,494.26,1,1,Surburban,1,Phone,Discount,0
84,2,809.07,1,0,Urban,1,Phone,Discount,0
85,1,80.42,0,1,Urban,1,Phone,Buy One Get One,0
86,10,237.85,1,0,Urban,0,Web,Buy One Get One,0
87,2,82.59,1,0,Surburban,0,Phone,Buy One Get One,0
88,6,165.77,0,1,Urban,0,Web,Buy One Get One,1
89,3,101.61,0,1,Surburban,1,Phone,No Offer,0
90,8,52.64,0,1,Surburban,1,Web,No Offer,0
91,6,466.29,1,0,Urban,1,Multichannel,Discount,0
92,3,100.85,1,0,Urban,1,Phone,Discount,0
93,3,1397.57,1,0,Surburban,1,Multichannel,Discount,0
94,2,770.58,0,1,Surburban,1,Phone,Discount,0
95,3,1973.87,1,0,Surburban,1,Multichannel,No Offer,0
96,3,133.51,1,0,Urban,0,Web,Discount,0
97,8,31.52,0,1,Surburban,0,Web,Discount,0
98,1,47.44,0,1,Urban,0,Phone,Buy One Get One,0
99,1,106.27,0,1,Surburban,0,Web,Buy One Get One,0
100,11,215.46,0,1,Urban,0,Web,Buy One Get One,0
101,11,189.25,0,1,Urban,1,Phone,No Offer,0
102,10,108.12,1,0,Urban,0,Web,Buy One Get One,0
103,8,66.14,1,0,Surburban,1,Phone,No Offer,0
104,8,98.56,1,0,Surburban,1,Web,Buy One Get One,0
105,6,129.14,1,0,Surburban,0,Web,Buy One Get One,0
106,2,493.17,0,1,Surburban,0,Web,Buy One Get One,0
107,11,146.04,0,1,Surburban,1,Phone,Discount,0
108,12,29.99,0,1,Urban,1,Web,No Offer,0
109,2,66.6,1,0,Urban,1,Phone,Buy One Get One,0
110,12,129.73,1,0,Surburban,0,Web,Buy One Get One,0
111,4,54.41,0,1,Urban,1,Phone,Buy One Get One,0
112,9,1172.42,1,1,Surburban,1,Web,Discount,0
113,5,244.34,0,1,Urban,1,Web,Discount,0
114,2,287.04,1,1,Urban,1,Phone,Buy One Get One,0
115,4,29.99,0,1,Urban,1,Web,Buy One Get One,0
116,9,151.01,1,0,Surburban,0,Web,No Offer,0
117,11,35.43,1,0,Urban,1,Phone,Discount,0
118,5,84.17,1,0,Urban,1,Web,Buy One Get One,0
119,3,313.6,0,1,Surburban,0,Phone,No Offer,0
120,1,117.27,0,1,Rural,0,Phone,Discount,0
121,5,29.99,0,1,Surburban,0,Web,No Offer,0
122,3,1167.93,1,1,Rural,1,Web,Buy One Get One,0
123,3,683.2,1,1,Rural,1,Multichannel,No Offer,0
124,1,110.07,0,1,Urban,0,Web,Discount,0
125,1,102.94,1,0,Urban,0,Web,Buy One Get One,0
126,2,29.99,0,1,Urban,0,Web,Discount,0
127,11,160.04,1,0,Rural,0,Web,Discount,0
128,1,418.68,0,1,Surburban,0,Web,No Offer,0
129,11,316.23,1,0,Urban,1,Phone,Discount,0
130,12,253.06,0,1,Surburban,0,Phone,Buy One Get One,0
131,9,329.96,0,1,Surburban,1,Phone,No Offer,0
132,7,185.73,1,0,Surburban,0,Phone,Discount,0
133,11,52.08,0,1,Urban,0,Web,Buy One Get One,0
134,1,616.73,0,1,Urban,1,Web,Discount,0
135,9,123.39,1,0,Urban,0,Phone,Buy One Get One,0
136,3,249.71,1,0,Surburban,0,Phone,No Offer,0
137,2,46.09,0,1,Urban,0,Web,No Offer,0
138,8,48.87,1,0,Surburban,1,Web,Discount,0
139,10,77.37,1,0,Surburban,0,Phone,Buy One Get One,0
140,4,270.24,1,0,Urban,1,Phone,No Offer,0
141,9,228.8,1,0,Surburban,0,Multichannel,Discount,1
142,3,80.18,0,1,Urban,0,Phone,Buy One Get One,0
143,11,131.76,0,1,Surburban,1,Web,Buy One Get One,1
144,9,162.59,0,1,Urban,0,Phone,Discount,1
145,12,87.62,1,0,Urban,1,Phone,Discount,0
146,3,29.99,1,0,Surburban,0,Phone,Discount,0
147,3,29.99,0,1,Urban,0,Web,Buy One Get One,0
148,7,59.96,1,0,Urban,1,Web,Buy One Get One,0
149,7,78.49,0,1,Rural,0,Web,Buy One Get One,0
150,2,29.99,0,1,Surburban,0,Phone,Discount,0
151,7,206.8,1,0,Surburban,0,Phone,Buy One Get One,0
152,7,229.53,1,0,Surburban,0,Web,Discount,1
153,1,439.93,1,1,Rural,1,Multichannel,No Offer,0
154,10,313.67,1,0,Rural,1,Phone,Buy One Get One,1
155,7,29.99,1,0,Surburban,1,Web,Buy One Get One,0
156,3,57.33,0,1,Surburban,0,Web,Buy One Get One,1
157,2,289.55,0,1,Rural,0,Phone,No Offer,1
158,5,29.99,0,1,Surburban,1,Phone,Discount,1
159,9,274.29,1,0,Surburban,0,Web,No Offer,0
160,1,293.37,1,0,Surburban,0,Phone,No Offer,0
161,12,29.99,1,0,Urban,1,Phone,No Offer,0
162,1,407.09,1,0,Surburban,0,Web,No Offer,0
163,1,142.4,0,1,Surburban,0,Phone,No Offer,0
164,1,29.99,0,1,Urban,1,Web,Discount,0
165,12,284.54,1,1,Surburban,0,Web,Discount,0
166,2,60.2,0,1,Surburban,1,Web,No Offer,0
167,4,1089.77,1,0,Urban,1,Multichannel,Discount,0
168,7,29.99,1,0,Surburban,1,Web,Buy One Get One,0
169,1,747.31,0,1,Rural,1,Web,Buy One Get One,0
170,6,136.63,1,0,Urban,1,Web,Buy One Get One,0
171,10,29.99,1,0,Rural,1,Web,Buy One Get One,0
172,11,54.11,1,0,Urban,1,Web,Buy One Get One,0
173,1,790.36,1,1,Urban,1,Multichannel,Discount,0
174,4,36.49,1,0,Urban,1,Web,No Offer,0
175,12,271.89,1,0,Rural,0,Web,Discount,0
176,5,399.46,1,0,Surburban,0,Web,Buy One Get One,0
177,3,39.83,0,1,Urban,1,Phone,Discount,1
178,10,153.58,1,0,Surburban,0,Phone,Buy One Get One,0
179,5,269.99,1,1,Surburban,0,Phone,Discount,0
180,2,29.99,1,0,Urban,1,Web,Buy One Get One,0
181,4,292.61,1,0,Surburban,0,Multichannel,No Offer,0
182,2,576.02,0,1,Surburban,1,Web,Buy One Get One,0
183,6,29.99,1,0,Surburban,0,Web,No Offer,0
184,9,116.3,1,0,Rural,1,Web,Discount,1
185,5,29.99,1,0,Surburban,0,Web,No Offer,0
186,3,29.99,0,1,Urban,1,Web,No Offer,0
187,7,968.65,1,1,Surburban,1,Web,Buy One Get One,0
188,7,39.78,0,1,Surburban,0,Web,Discount,0
189,9,311.81,1,0,Urban,0,Multichannel,Buy One Get One,1
190,1,720.17,1,1,Urban,1,Phone,Discount,0
191,4,69.08,0,1,Urban,0,Phone,Discount,0
192,12,80.56,1,0,Urban,0,Web,Buy One Get One,0
193,1,301.19,1,0,Surburban,1,Web,No Offer,0
194,10,307.64,0,1,Urban,0,Multichannel,Discount,0
195,7,481.56,1,0,Surburban,0,Web,Discount,0
196,10,29.99,0,1,Surburban,0,Web,No Offer,0
197,1,895.43,0,1,Surburban,1,Web,Buy One Get One,0
198,5,425.1,1,0,Rural,1,Phone,Discount,0
199,10,36.28,1,0,Urban,1,Web,No Offer,0
200,4,413.46,0,1,Rural,0,Phone,Buy One Get One,0
201,7,32.42,1,0,Surburban,0,Phone,No Offer,0
202,10,170.32,1,0,Urban,1,Phone,Buy One Get One,0
203,1,150.93,1,0,Surburban,0,Web,No Offer,0
204,11,223.39,1,0,Rural,1,Phone,Buy One Get One,0
205,1,506.51,1,0,Urban,1,Multichannel,No Offer,0
206,8,575.62,1,1,Urban,1,Multichannel,Discount,0
207,3,29.99,0,1,Surburban,0,Web,Buy One Get One,1
208,2,145.76,0,1,Surburban,1,Web,No Offer,1
209,1,29.99,1,0,Rural,1,Phone,Buy One Get One,0
210,8,428,1,0,Surburban,1,Multichannel,No Offer,0
211,6,604.39,1,1,Urban,1,Phone,No Offer,0
212,8,171.88,1,0,Surburban,0,Phone,No Offer,0
213,4,370.86,0,1,Surburban,0,Multichannel,Buy One Get One,0
214,8,138.62,0,1,Urban,1,Web,Buy One Get One,0
215,7,29.99,1,0,Surburban,1,Web,Discount,0
216,1,209.98,1,0,Surburban,0,Web,No Offer,1
217,3,166,0,1,Urban,0,Web,No Offer,0
218,10,88.37,0,1,Urban,0,Phone,Buy One Get One,1
219,8,336.76,0,1,Surburban,0,Phone,Discount,0
220,1,60.71,0,1,Rural,1,Phone,Buy One Get One,0
221,4,356.73,0,1,Surburban,0,Web,No Offer,0
222,4,52.12,1,0,Urban,0,Phone,Discount,0
223,7,406.7,0,1,Surburban,1,Phone,Discount,0
224,6,277.81,1,0,Surburban,1,Multichannel,No Offer,0
225,1,181.98,0,1,Urban,1,Web,Discount,0
226,2,112.13,1,0,Urban,1,Web,Buy One Get One,0
227,5,29.99,0,1,Rural,1,Web,No Offer,0
228,5,439.26,1,0,Surburban,0,Multichannel,Buy One Get One,0
229,8,64.16,0,1,Surburban,0,Web,Buy One Get One,0
230,5,29.99,0,1,Surburban,0,Web,No Offer,1
231,6,29.99,0,1,Urban,1,Web,Discount,0
232,2,591.95,0,1,Urban,1,Multichannel,Buy One Get One,0
233,8,130.31,1,0,Surburban,1,Phone,No Offer,0
234,3,65.26,1,0,Urban,0,Web,Discount,1
235,10,132.46,1,0,Urban,0,Phone,Buy One Get One,0
236,4,225.89,1,1,Rural,1,Web,Buy One Get One,0
237,2,115.56,0,1,Surburban,1,Web,No Offer,0
238,8,104.94,0,1,Urban,0,Phone,No Offer,0
239,7,69.44,1,0,Rural,0,Web,Discount,1
240,10,47.47,0,1,Surburban,0,Phone,Buy One Get One,0
241,1,215.08,0,1,Surburban,0,Web,Buy One Get One,1
242,2,224.89,1,1,Urban,0,Multichannel,No Offer,0
243,9,201.75,1,1,Surburban,0,Phone,Buy One Get One,0
244,5,354.03,1,0,Urban,0,Web,Discount,0
245,10,151.43,1,0,Urban,0,Web,No Offer,0
246,11,120.14,1,0,Urban,0,Web,Discount,0
247,5,159.41,0,1,Surburban,1,Phone,Buy One Get One,1
248,5,290.86,1,0,Urban,1,Web,No Offer,0
249,4,87.2,0,1,Surburban,1,Phone,Buy One Get One,1
250,11,81.06,1,0,Urban,0,Web,Discount,0
251,10,55.11,1,0,Urban,1,Web,Discount,0
252,1,513.83,0,1,Surburban,1,Multichannel,Discount,0
253,4,770.38,0,1,Rural,1,Multichannel,No Offer,0
254,1,33.5,1,0,Surburban,0,Web,Discount,0
255,2,56.25,1,0,Surburban,1,Phone,Discount,0
256,2,1093.92,1,1,Surburban,1,Web,No Offer,0
257,1,752.8,1,1,Urban,1,Phone,No Offer,0
258,2,199.95,1,0,Surburban,1,Phone,No Offer,0
259,9,239.91,0,1,Rural,0,Phone,No Offer,0
260,8,43.16,0,1,Urban,1,Phone,No Offer,0
261,2,418.81,0,1,Surburban,0,Multichannel,No Offer,0
262,9,318.52,0,1,Urban,0,Web,Buy One Get One,0
263,1,109.26,0,1,Surburban,1,Web,Buy One Get One,1
264,3,67.4,1,0,Surburban,0,Web,Discount,0
265,9,135.02,1,0,Surburban,1,Web,Buy One Get One,0
266,10,54.25,0,1,Surburban,0,Web,Discount,0
267,3,55.34,1,0,Surburban,1,Phone,Buy One Get One,0
268,4,297.8,1,1,Urban,0,Phone,Buy One Get One,1
269,4,146.49,0,1,Surburban,0,Phone,Buy One Get One,0
270,7,329.26,0,1,Urban,0,Web,Discount,0
271,1,29.99,1,0,Rural,1,Phone,Discount,0
272,4,249.61,0,1,Urban,1,Phone,Buy One Get One,0
273,5,39.52,1,0,Surburban,1,Phone,Discount,0
274,1,307.58,1,0,Surburban,0,Multichannel,No Offer,0
275,6,92.32,0,1,Urban,0,Phone,Discount,0
276,6,464.17,0,1,Surburban,0,Multichannel,Buy One Get One,0
277,6,29.99,1,0,Surburban,1,Web,Buy One Get One,0
278,2,435.33,0,1,Surburban,0,Web,Buy One Get One,0
279,10,375.9,0,1,Urban,0,Web,Discount,0
280,9,29.99,1,0,Urban,0,Web,Discount,0
281,9,220.51,1,0,Urban,0,Multichannel,Discount,0
282,5,180.28,0,1,Surburban,0,Phone,Buy One Get One,0
283,6,78.69,0,1,Surburban,0,Phone,Discount,0
284,2,350.48,1,0,Urban,1,Web,Buy One Get One,0
285,3,376.14,1,0,Surburban,0,Phone,No Offer,0
286,1,179.63,1,0,Surburban,0,Phone,Discount,1
287,6,164.51,1,0,Surburban,0,Phone,Buy One Get One,1
288,8,59.76,0,1,Urban,1,Web,Discount,0
289,11,29.99,0,1,Surburban,0,Web,Buy One Get One,0
290,2,407.64,0,1,Urban,1,Web,Buy One Get One,0
291,1,143,0,1,Urban,0,Phone,Buy One Get One,0
292,4,320.17,0,1,Urban,1,Phone,Discount,0
293,1,103.07,1,0,Surburban,0,Web,Discount,0
294,10,35.84,1,0,Urban,1,Phone,No Offer,0
295,3,190.66,0,1,Surburban,1,Web,Buy One Get One,0
296,2,90.91,1,0,Surburban,0,Web,Discount,0
297,5,215.03,0,1,Urban,1,Web,No Offer,0
298,1,856.4,0,1,Urban,1,Web,No Offer,0
299,10,139.83,1,0,Urban,1,Phone,Discount,0
300,10,245.09,1,0,Urban,0,Multichannel,No Offer,0
301,6,127.2,0,1,Surburban,0,Phone,No Offer,0
302,1,470.65,1,0,Urban,0,Phone,Discount,0
303,1,59.13,1,0,Urban,1,Web,Discount,0
304,3,327.1,1,0,Surburban,1,Web,No Offer,0
305,1,399.72,1,1,Surburban,0,Phone,Discount,1
306,3,29.99,1,0,Urban,0,Phone,No Offer,0
307,6,398.03,1,1,Surburban,0,Phone,No Offer,0
308,4,134.24,0,1,Urban,0,Web,Discount,1
309,10,290.55,0,1,Surburban,0,Web,Discount,0
310,7,29.99,1,0,Surburban,0,Web,No Offer,0
311,4,87.69,1,0,Surburban,0,Web,Discount,0
312,10,335.77,0,1,Rural,0,Multichannel,Buy One Get One,0
313,12,465.37,0,1,Rural,1,Multichannel,No Offer,0
314,12,75.26,1,0,Urban,1,Phone,Buy One Get One,0
315,10,327.18,0,1,Urban,0,Phone,Buy One Get One,0
316,1,188.89,0,1,Surburban,1,Web,No Offer,0
317,4,49.8,1,0,Urban,1,Web,Discount,0
318,7,688.51,1,1,Rural,1,Multichannel,Buy One Get One,0
319,3,229.42,0,1,Rural,0,Multichannel,No Offer,0
320,1,253.18,0,1,Surburban,0,Multichannel,Discount,0
321,2,156.4,0,1,Surburban,0,Web,Discount,0
322,2,196.93,0,1,Rural,1,Web,Buy One Get One,0
323,4,557.47,1,0,Urban,1,Web,No Offer,0
324,12,177.66,1,0,Surburban,0,Phone,Buy One Get One,1
325,9,29.99,0,1,Surburban,0,Phone,Buy One Get One,0
326,11,140.07,0,1,Urban,1,Web,Discount,0
327,10,168.04,1,0,Urban,0,Web,No Offer,0
328,5,173.65,1,0,Urban,0,Web,Buy One Get One,0
329,4,164.7,1,0,Surburban,0,Phone,No Offer,0
330,2,57.53,1,0,Urban,1,Phone,No Offer,0
331,10,29.99,1,0,Urban,0,Web,Buy One Get One,0
332,3,188.19,1,0,Urban,0,Phone,Discount,1
333,10,29.99,0,1,Surburban,0,Web,No Offer,1
334,1,35.23,1,0,Urban,1,Phone,Discount,0
335,4,63.22,1,0,Surburban,0,Web,Buy One Get One,0
336,4,550.59,1,0,Surburban,1,Web,No Offer,0
337,6,232.94,1,0,Surburban,1,Multichannel,Discount,0
338,11,91.23,1,0,Urban,0,Web,Buy One Get One,0
339,2,571.53,1,0,Rural,1,Multichannel,Buy One Get One,0
340,1,169.31,0,1,Rural,1,Web,Buy One Get One,0
341,10,205.88,1,0,Urban,0,Phone,No Offer,0
342,1,1281.48,1,0,Urban,1,Phone,Discount,0
343,3,29.99,1,0,Urban,0,Web,No Offer,1
344,3,542.16,1,0,Urban,1,Phone,Discount,1
345,7,424.6,0,1,Surburban,1,Phone,Buy One Get One,0
346,6,507.25,0,1,Urban,1,Phone,Discount,0
347,10,29.99,1,0,Rural,0,Web,Discount,0
348,2,373.14,0,1,Urban,0,Multichannel,Buy One Get One,1
349,7,60.02,1,0,Surburban,1,Phone,Discount,0
350,1,68.5,0,1,Urban,0,Phone,No Offer,0
351,11,37.45,0,1,Urban,0,Phone,No Offer,0
352,2,38.34,1,0,Urban,0,Web,Buy One Get One,0
353,5,545.73,1,0,Surburban,1,Multichannel,Buy One Get One,0
354,4,70.39,0,1,Surburban,1,Web,No Offer,0
355,6,98.8,0,1,Rural,1,Phone,Discount,1
356,9,29.99,1,0,Urban,0,Web,Buy One Get One,0
357,5,556.5,0,1,Rural,1,Web,Discount,0
358,4,29.99,1,0,Urban,0,Phone,Buy One Get One,0
359,6,136.26,0,1,Rural,1,Web,No Offer,0
360,2,936.63,1,0,Urban,1,Phone,Buy One Get One,0
361,9,172.14,0,1,Urban,0,Phone,Discount,0
362,2,203.52,1,1,Urban,1,Multichannel,No Offer,1
363,1,422.81,0,1,Urban,0,Phone,Buy One Get One,1
364,10,320.11,0,1,Rural,0,Web,No Offer,0
365,12,29.99,0,1,Surburban,0,Phone,Buy One Get One,0
366,8,267.25,0,1,Surburban,0,Phone,Discount,0
367,11,164.9,0,1,Surburban,0,Phone,Buy One Get One,0
368,11,265.39,0,1,Surburban,0,Multichannel,Buy One Get One,0
369,9,744.22,1,0,Rural,1,Web,No Offer,0
370,3,99.25,1,0,Surburban,1,Phone,No Offer,0
371,5,62.49,1,0,Rural,0,Web,No Offer,0
372,4,72.66,0,1,Surburban,1,Phone,Discount,0
373,10,333.65,0,1,Surburban,0,Web,No Offer,0
374,7,340.18,0,1,Urban,0,Phone,No Offer,0
375,4,300.58,0,1,Surburban,1,Web,Buy One Get One,0
376,10,62.63,0,1,Surburban,1,Phone,Discount,0
377,10,357.28,0,1,Surburban,0,Web,Buy One Get One,0
378,5,283.55,1,0,Urban,1,Phone,No Offer,0
379,9,48.93,1,0,Rural,1,Phone,Buy One Get One,0
380,9,54.34,1,0,Surburban,0,Phone,Discount,1
381,5,247.82,1,0,Urban,0,Phone,Discount,0
382,11,178.56,1,0,Urban,0,Phone,Discount,0
383,2,86.38,1,0,Urban,1,Web,Discount,0
384,7,233.4,1,1,Urban,0,Multichannel,No Offer,0
385,2,189.67,1,0,Rural,1,Web,Buy One Get One,0
386,1,1524.15,1,0,Rural,1,Web,No Offer,0
387,5,544.43,0,1,Urban,1,Web,Buy One Get One,0
388,8,60.69,1,0,Urban,1,Phone,Buy One Get One,0
389,10,57.71,0,1,Surburban,0,Web,Discount,0
390,4,410.86,0,1,Urban,0,Web,No Offer,0
391,6,40.24,1,0,Surburban,1,Phone,Discount,0
392,9,535.17,0,1,Surburban,1,Web,Discount,0
393,3,584.63,1,1,Surburban,1,Web,No Offer,0
394,1,29.99,1,0,Urban,1,Phone,Discount,0
395,3,1570.59,1,1,Urban,1,Web,Buy One Get One,0
396,5,119.47,1,0,Surburban,0,Phone,No Offer,0
397,7,68.86,0,1,Surburban,0,Phone,No Offer,0
398,3,68.81,0,1,Urban,0,Phone,Discount,0
399,9,165.62,0,1,Urban,0,Web,No Offer,0
400,1,686.08,1,1,Urban,1,Web,No Offer,0
401,3,263.07,0,1,Surburban,0,Web,Buy One Get One,0
402,5,568.26,0,1,Surburban,1,Multichannel,Buy One Get One,0
403,7,145.89,0,1,Urban,0,Phone,No Offer,0
404,2,190.4,0,1,Rural,1,Web,Buy One Get One,1
405,5,964.59,0,1,Surburban,1,Phone,No Offer,0
406,10,158.55,0,1,Surburban,0,Phone,Buy One Get One,0
407,7,578.35,0,1,Surburban,1,Web,Discount,1
408,7,93.33,1,0,Urban,0,Web,No Offer,0
409,9,157.76,1,0,Urban,0,Phone,Buy One Get One,0
410,2,762,1,0,Surburban,1,Web,Buy One Get One,0
411,5,29.99,1,0,Surburban,0,Phone,Buy One Get One,0
412,2,235.19,1,0,Urban,1,Multichannel,Buy One Get One,0
413,5,42.3,0,1,Urban,0,Phone,No Offer,0
414,4,474.94,0,1,Urban,1,Web,Discount,0
415,7,291.88,1,0,Urban,0,Multichannel,No Offer,0
416,3,80.51,1,0,Surburban,1,Web,Buy One Get One,0
417,2,224.69,1,1,Urban,0,Web,Buy One Get One,0
418,6,32.17,1,0,Urban,1,Phone,Discount,0
419,4,553.42,1,0,Rural,1,Web,Buy One Get One,1
420,1,219.3,0,1,Surburban,0,Phone,Buy One Get One,0
421,1,200.26,1,0,Surburban,0,Multichannel,No Offer,0
422,8,1137.96,0,1,Surburban,1,Phone,Discount,0
423,8,29.99,0,1,Urban,1,Phone,Buy One Get One,0
424,9,51.53,1,0,Surburban,1,Phone,No Offer,0
425,3,177.36,0,1,Surburban,1,Web,Discount,0
426,9,34.75,1,0,Urban,1,Web,No Offer,0
427,8,402.84,1,0,Surburban,0,Phone,No Offer,0
428,1,276.21,1,0,Surburban,0,Phone,No Offer,0
429,1,960.02,1,1,Rural,1,Web,No Offer,1
430,1,100.92,0,1,Urban,1,Web,No Offer,0
431,7,770.87,1,1,Urban,1,Phone,Buy One Get One,0
432,7,63.95,1,0,Urban,1,Phone,Buy One Get One,0
433,7,348.44,0,1,Surburban,1,Web,Discount,0
434,11,29.99,0,1,Rural,0,Web,Discount,0
435,3,216.08,0,1,Urban,0,Phone,No Offer,0
436,3,211.88,1,1,Surburban,0,Web,Buy One Get One,0
437,9,129.46,1,0,Urban,1,Phone,Discount,0
438,11,189.23,1,0,Surburban,0,Web,Buy One Get One,0
439,10,149.31,0,1,Rural,1,Phone,Buy One Get One,0
440,4,218.92,0,1,Surburban,0,Web,Discount,1
441,3,109.34,0,1,Surburban,0,Phone,Discount,0
442,2,32.18,1,0,Surburban,1,Web,Discount,0
443,7,287.73,1,1,Urban,0,Web,No Offer,1
444,4,29.99,0,1,Urban,1,Phone,No Offer,0
445,12,98.17,0,1,Surburban,1,Web,No Offer,0
446,3,297.33,0,1,Urban,0,Phone,Buy One Get One,0
447,5,728.99,1,0,Urban,1,Web,Discount,0
448,9,483.16,1,1,Urban,0,Phone,Discount,1
449,4,93.36,1,0,Surburban,1,Phone,No Offer,0
450,2,542.34,0,1,Urban,1,Phone,No Offer,0
451,9,44.68,1,0,Urban,0,Phone,No Offer,0
452,6,265.61,0,1,Surburban,1,Multichannel,Buy One Get One,1
453,4,184.47,1,0,Rural,0,Phone,Buy One Get One,0
454,8,69.67,1,0,Rural,1,Web,Buy One Get One,0
455,2,188.03,1,0,Urban,1,Phone,No Offer,0
456,1,1873.15,0,1,Urban,1,Phone,Buy One Get One,0
457,1,132.46,1,0,Urban,0,Phone,No Offer,0
458,8,167.05,0,1,Urban,0,Phone,No Offer,0
459,3,179.31,0,1,Urban,0,Web,No Offer,0
460,1,101.99,0,1,Surburban,0,Web,Buy One Get One,1
461,1,290.03,1,1,Urban,0,Web,No Offer,1
462,1,89.59,0,1,Surburban,1,Web,Discount,0
463,4,29.99,0,1,Surburban,1,Web,Buy One Get One,0
464,2,851.45,1,1,Rural,1,Web,No Offer,1
465,1,248.43,1,0,Surburban,1,Phone,No Offer,0
